,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.15636007,-0.94227636,0.32797474,0.14413475,0.13770853,0.06141683,0.047150984,-0.010310377,0.3588637,-0.06303546,-0.3193936,-0.21644904,-0.18561575,0.3879231,0.10203382,0.02151752
1,-0.8835778,-0.046268273,0.25266042,-0.16547994,-0.78612393,0.10145151,0.2468572,0.030162504,-0.1517678,0.16274944,0.005505679,0.1738611,0.08205297,-0.46165305,-0.70459557,0.1041754
2,-0.08078906,-0.026938358,0.27233398,-0.26955462,0.10386999,-0.37630793,0.13485889,0.011863874,-0.055212695,-0.012572785,-0.26803583,0.22261724,-0.09742266,-0.21046837,-0.1810838,-0.33309165
3,-0.18481092,-0.042056516,0.40841094,-0.27924022,-0.15001659,-0.1707859,-0.34221163,0.2812521,0.3521208,-0.10097837,0.29208985,0.13928522,0.17110133,-0.26145455,-0.21232982,-0.049949706
4,-0.06751364,-0.015783299,-0.12427515,-0.2764573,-0.15718699,0.15658948,0.017711414,0.24399184,0.061460417,-0.13786854,0.11754974,-0.045283012,0.3032914,-0.04906073,-0.07040719,-0.17726167
5,-0.03845017,0.11575274,-0.5616183,-0.07186695,-0.13349248,0.08945911,0.0026929285,0.2584076,0.28284216,-0.122751005,-0.21887669,-0.448536,-0.2476908,-0.13632968,0.10598063,0.106074266
6,-0.14623708,-0.021889756,0.08113121,-0.021985292,-0.1491195,-0.1610655,-0.10275454,0.25185248,0.16359738,-0.07147194,0.16201174,0.039483815,0.25304288,-0.17443699,0.12143756,0.18956703
7,0.123777285,0.081540406,-0.2824866,0.035960075,-0.025020922,0.08358461,0.18181464,-1.1863998,-0.014891581,-0.820112,-0.43171433,-0.124427155,0.06563018,-0.014983369,-0.10437312,-0.011138816
8,0.019685697,0.032713335,-0.09975072,0.038834617,0.0029754566,0.0475445,0.09413366,0.0127578555,-0.051746313,-0.03320163,-0.16182359,0.08854426,0.022278659,0.12926754,-0.08739592,-0.082680136
9,0.034161486,0.00319567,-0.0030801906,-0.10894075,0.03788911,-0.03546948,0.10226467,-0.009538924,-0.14945066,0.06655053,-0.14766167,-0.13128889,0.13686785,-0.014325986,0.07343328,0.16142288
10,0.04210459,-0.06674921,-0.018004859,-0.04698858,-0.03521765,-0.10376903,-0.09690446,0.04580435,-0.14971839,-0.11228217,-0.09312993,-0.12723729,0.30965012,-0.07302888,-0.08309877,-0.23369393
11,-0.021045651,-0.065911815,-0.1115787,-0.06545316,0.03255815,-0.002861063,-0.026855161,-0.010427205,-0.21669985,0.10918383,-0.01947678,0.21217509,0.032785133,0.044127636,0.012942404,0.056918785
12,-0.034616895,-0.008231009,-0.039718907,-0.25738412,-0.15767393,-0.15075165,-0.15988867,0.012989402,0.38992447,-0.14405595,-0.22975522,0.09568423,0.06898192,0.21646163,0.1412391,0.23789686
