,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.026633745,-0.032675613,-0.27170196,0.3680821,0.049280632,0.12689416,-0.3302915,-0.28854632,-0.5234168,-0.20723124,0.12189394,-0.11767998,-0.0033326005,-0.11542008,-0.3852776,0.22129153,0.031320453,-0.1508937,-0.26392573,0.11731473,0.13854791,0.04597574,-0.2391065,-0.030425074,-0.39379874,0.31925517,-0.15082113,-0.28053188,-0.027363496,0.2630924,0.0031407909,-0.034166384
1,-0.26938727,0.107016094,-0.20854543,0.07936451,-0.12597677,0.10894365,-0.12869914,-0.05205286,0.46899745,0.044465646,-0.48041326,0.028009212,-0.026657518,-0.0019275951,0.33223003,-0.5360851,0.06783566,-0.17921051,-0.33120087,-0.30743003,-0.25223133,-0.011061406,-0.31290847,-0.014985292,-0.06916654,0.18633273,-0.09540661,-0.06881817,-0.11773176,0.120684974,-0.18170068,0.40249613
2,-0.049087226,-0.40085807,-0.22216156,-0.16757412,-0.105070576,0.0067606154,0.12122183,-0.34019524,0.041783735,-0.060011107,-0.2526749,-0.14532585,-0.2797341,0.009891556,-0.21423481,-0.34264272,-0.056263946,0.01465389,-0.32882088,-0.017713688,-0.1082738,-0.25827226,0.08608767,-0.32575905,-0.07750569,-0.3132506,-0.28565115,-0.27242097,-0.06497943,-0.08021835,0.16439003,-0.13120799
3,-0.03134191,-0.18361865,0.050199393,-0.43802664,-0.043133993,-0.20620254,0.048443466,-0.024365434,0.08650132,-0.14165299,0.058983043,0.1172686,-0.011586046,-0.27440906,-0.19035324,-0.35920346,0.15263452,-0.19461341,-0.18239357,0.04078951,-0.28770235,0.15091534,-0.016587516,-0.28238547,-0.25283763,0.19728462,0.06054009,0.17654586,-0.13807087,0.116384506,0.108982876,-0.3822345
4,0.42132676,-0.013791377,0.008441829,-0.20638189,0.30402225,0.03615965,-0.05743069,-0.28520855,0.041451592,0.03489548,-0.45292428,-0.14942242,-0.3353846,-0.14063019,-0.050703596,-0.17902285,0.021041753,0.25799277,-0.18272708,0.12282548,0.15703045,0.24547964,-0.02366399,-0.1737817,-0.056596097,-0.02057204,0.2019008,0.18967596,-0.22470614,-0.086878024,0.20498855,-0.04844502
5,-0.49439827,0.009759631,0.20255597,-0.053557202,0.323928,0.21688062,-0.15718503,-0.5406967,-0.0067872377,0.16351219,0.23289648,0.13976356,0.6329379,-0.11851778,0.08357716,-0.0041604056,0.10911232,0.06002556,-0.17573865,0.3377413,0.11528568,-0.46909142,-0.29707214,0.23499085,0.1891388,0.06978525,0.07898599,0.007674597,0.46844944,0.39508194,0.2831073,0.06803998
6,-0.32859668,-0.36689073,0.07579828,-0.42767602,-0.093324035,0.04995603,0.1905872,0.15895563,-0.058752768,-0.04233266,0.16120589,-0.39762396,0.09491576,-0.04715519,0.063540995,-0.18775365,-0.37711668,-0.029408915,0.0062744077,0.17606398,-0.16984798,-0.035788257,0.15613434,0.35061368,0.07476478,-0.42397413,-0.21731597,-0.27255982,-0.34167764,-0.2250232,-0.12062725,-0.120381564
7,0.024493435,-0.10710236,0.07055987,-0.02457723,-0.38107958,0.028272213,-0.15111284,-0.07949455,-0.21844499,-0.19417971,0.01566019,0.031498108,0.29306826,0.002182612,0.3197566,-0.27731007,-0.05656092,0.03160425,-0.035927594,0.076786414,-0.05091817,-0.19741572,0.024280943,-0.23340702,-0.1217657,-0.25868925,-0.09390618,-0.22624062,0.054237626,-0.14742976,-0.03061043,0.14168939
8,-0.031611204,-0.43238184,-0.2594113,-0.3074479,-0.119368896,-0.15618366,-0.18023299,-0.44504428,-0.004900685,-0.27893215,0.14670369,-0.00084596424,-0.16485344,-0.22604895,0.14740553,-0.08951987,-0.016409408,-0.09803092,0.19184771,0.006828568,-0.33528128,-0.14640173,0.21972397,0.038069557,-0.24486578,-0.4383968,-0.12763566,-0.48709854,0.42816645,-0.15088424,0.11530926,0.43245646
9,-0.4515652,0.16118763,0.09797849,0.023168396,-0.38059145,0.040497366,0.12940806,-0.2503524,-0.020990139,-0.35314813,-0.19474578,0.05800249,0.4306475,0.0070605786,0.23464713,-0.112156294,-0.0122308545,0.22990426,0.26067588,-0.43518963,-0.28903857,-0.06632811,0.17334935,0.2956316,0.0994961,-0.13219121,-0.16382957,-0.22458524,0.27147633,-0.022925857,-0.0790603,0.17371157
10,0.10245552,-0.54307073,-0.2387567,-0.34055623,-0.061021682,-0.3003264,-0.13550912,0.08692646,0.26190934,0.010619959,-0.21565221,0.09347574,-0.30945197,-0.15132448,0.1307851,-0.113925785,-0.10011972,-0.2265357,-0.3030169,-0.29616576,-0.37833476,-0.06266936,0.101466574,-0.16730271,0.052981805,-0.45692447,-0.41602606,-0.114640325,0.44782123,-0.31843778,-0.18978424,-0.012375101
11,-0.12547626,0.09145407,0.058506694,0.023927676,0.030809857,0.27332008,-0.48308632,-0.05790105,-0.48650706,-0.338921,-0.19117434,0.17051406,0.2944179,0.14887919,-0.12842566,0.21435831,-0.11456388,0.17544195,-0.026225483,0.1006553,0.019377455,-0.23827101,0.0041066366,0.25075606,-0.14586258,0.070184425,0.027264258,-0.07605338,0.07729468,0.093421146,0.12047199,0.27094093
12,0.005029515,-0.05890368,0.1841237,-0.07219072,0.20695326,-0.20536266,0.048076488,-0.30737683,-0.18042225,0.102311805,0.23501459,0.36671355,-0.23681855,0.21900249,0.06354836,0.06362683,-0.17358714,0.059692882,-0.0675404,0.09121301,0.105737604,0.010932278,-0.115004726,0.26919112,0.2248674,-0.2478528,0.060452074,-0.13064012,-0.07060648,-0.29151613,-0.23625146,0.12357557
13,-0.099590056,0.036329888,0.027856678,0.23127696,-0.24333248,0.21476291,-0.036092,0.02902527,0.2052928,-0.050714944,-0.13119358,-0.45709482,-0.1218257,0.29662845,-0.12244113,0.16016328,-0.03990683,-0.036608726,0.19798346,0.021928541,-0.0137582915,-0.20991574,0.09868618,-0.00677419,-0.09871328,-0.20227076,0.07547499,-0.3326267,-0.08599911,-0.32229343,-0.09405173,-0.1989538
