,0
0,0.03544928
1,0.037669018
2,0.04398689
3,0.04135728
4,0.044412687
5,0.044888116
6,0.043327503
7,0.043076474
8,0.048869308
9,0.04447058
10,0.045695852
11,0.04499581
12,0.046619788
13,0.044480722
14,0.04577783
15,0.0454544
16,0.046233594
17,0.04539777
18,0.04948936
19,0.04452549
20,0.04783198
21,0.04364426
22,0.048408117
23,0.04485175
24,0.04809114
25,0.043945253
26,0.046059277
27,0.047442976
28,0.044183392
29,0.04500326
30,0.044553738
31,0.0439209
32,0.049055673
33,0.044960614
34,0.046366207
35,0.046247188
36,0.045700997
37,0.04853252
38,0.04891451
39,0.04556284
40,0.050367024
41,0.04402815
42,0.04714757
43,0.044977926
44,0.0437939
45,0.046181433
46,0.043143123
47,0.04591406
48,0.047145482
49,0.0481841
50,0.049345445
51,0.04838655
52,0.04824109
53,0.044493787
54,0.047239352
55,0.044571947
56,0.044629004
57,0.045995276
58,0.04263113
59,0.04404951
60,0.043340594
61,0.043929007
62,0.042006575
63,0.04376927
64,0.04133875
65,0.044658385
66,0.044041943
67,0.05027695
68,0.047253747
69,0.042774413
70,0.04660667
71,0.04227094
72,0.04316646
73,0.048468724
74,0.04370601
75,0.043960247
76,0.04732208
77,0.047496293
78,0.044973794
79,0.046779003
80,0.04403788
81,0.04308998
82,0.043248102
83,0.04371501
84,0.045690466
85,0.043576285
86,0.045686554
87,0.046058375
88,0.041236706
89,0.041161142
90,0.04446826
91,0.04130171
92,0.04353723
93,0.040609363
94,0.040791236
95,0.044138167
96,0.041252185
97,0.049903676
98,0.040784914
99,0.04424111
100,0.04751021
101,0.044866607
102,0.042291075
103,0.042258784
104,0.0446965
105,0.041228794
106,0.040712677
107,0.040244356
108,0.041719522
109,0.040585812
110,0.0421246
111,0.045843557
112,0.040262908
113,0.04141696
114,0.041330826
115,0.04189913
116,0.04132409
117,0.041319992
118,0.046869338
119,0.04170148
120,0.041342042
121,0.041895293
122,0.039800648
123,0.0415373
124,0.04192499
125,0.04175113
126,0.042919267
127,0.043042857
128,0.042045727
129,0.043107945
130,0.043951068
131,0.04550088
132,0.04661389
133,0.041365582
134,0.041440494
135,0.045737084
136,0.04654513
137,0.042939737
138,0.039418664
139,0.041630466
140,0.042611554
141,0.04029286
142,0.042210978
143,0.04307831
144,0.04364265
145,0.04436939
146,0.04164703
147,0.04346342
148,0.044533417
149,0.041178625
150,0.043094035
151,0.044551823
152,0.045933805
153,0.04363633
154,0.049585998
155,0.04425385
156,0.043702573
157,0.042937323
158,0.040060744
159,0.04118896
160,0.042942975
161,0.040595666
162,0.04020239
163,0.042466868
164,0.041029327
165,0.041222095
166,0.042239793
167,0.041232843
168,0.041528974
169,0.04797658
170,0.04011106
171,0.04079741
172,0.04062984
173,0.04366209
174,0.048127837
175,0.043181557
176,0.038918022
177,0.041936763
178,0.043641523
179,0.041184273
180,0.046167124
181,0.038037896
182,0.04401277
183,0.0423533
184,0.040807966
185,0.038688738
186,0.039815824
187,0.03943162
188,0.04305996
189,0.041484106
190,0.040712327
191,0.040785957
192,0.040046114
193,0.04350504
194,0.04042414
195,0.03973354
196,0.044231925
197,0.040613364
198,0.039198812
199,0.040468033
200,0.0420159
201,0.03827018
202,0.04042433
203,0.04305354
204,0.039722946
205,0.04059307
206,0.043320637
207,0.04183112
208,0.03766563
209,0.040831782
210,0.039703626
211,0.04112446
212,0.044411544
213,0.042928617
214,0.04180145
215,0.042450987
216,0.041509584
217,0.03997362
218,0.04044543
219,0.03972287
220,0.03955069
221,0.04000041
222,0.04419566
223,0.042862084
224,0.040222336
225,0.040955596
226,0.03813299
227,0.03832454
228,0.03814372
229,0.039117467
230,0.044548903
231,0.040915
232,0.042571977
233,0.03979364
234,0.042164594
235,0.041752145
236,0.041895583
237,0.041332282
238,0.04187287
239,0.041814614
240,0.041647308
241,0.038113955
242,0.038871974
243,0.037902012
244,0.04232925
245,0.039210472
246,0.039303984
247,0.041107167
248,0.040319387
249,0.04056794
250,0.040826153
251,0.042700846
252,0.03920699
253,0.03917672
254,0.042256497
255,0.040815193
256,0.038741462
257,0.040277697
258,0.039189424
259,0.03851712
260,0.04218491
261,0.040576994
262,0.03848075
263,0.041043743
264,0.038851425
265,0.046944197
266,0.042259056
267,0.04224936
268,0.043276895
269,0.042439282
270,0.040272288
271,0.041132525
272,0.045935556
273,0.03915036
274,0.040105484
275,0.039206553
276,0.044365957
277,0.043037213
278,0.0438944
279,0.042592816
280,0.043782473
281,0.042659152
282,0.04256359
283,0.042060316
284,0.042323716
285,0.041781534
286,0.040449493
287,0.041259803
288,0.040336452
289,0.03675457
290,0.043974705
291,0.038928542
292,0.039677884
293,0.03994855
294,0.03824187
295,0.042273995
296,0.041827474
297,0.039591756
298,0.043045107
299,0.039022304
300,0.04384423
301,0.04004335
302,0.04083779
303,0.041244157
304,0.039464716
305,0.041988958
306,0.038741466
307,0.04183393
308,0.043287076
309,0.04303739
310,0.039359227
311,0.044481773
312,0.040103473
313,0.0377799
314,0.037230957
315,0.038013544
316,0.041091617
317,0.04306295
318,0.038173184
319,0.040108565
320,0.039249957
321,0.041565184
322,0.04184363
323,0.0394979
324,0.040363543
325,0.04445642
326,0.040897764
327,0.04409964
328,0.041007217
329,0.045847807
330,0.042766493
331,0.039962202
332,0.044342805
333,0.042863414
334,0.041017838
335,0.046423636
336,0.03899913
337,0.046726707
338,0.041599028
339,0.042952985
340,0.041452352
341,0.041925818
342,0.039867625
343,0.04079126
344,0.041597065
345,0.04326976
346,0.05019846
347,0.042272627
348,0.041178066
349,0.0446059
