,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.18251605,0.24575607,0.1988099,0.08312553,0.24570711,0.18788315,-0.5680169,0.1395345,-0.083967194,0.27138364,0.12034041,0.09178285,0.27043816,-0.00848341,-0.7154537,0.12631053
1,-0.29687297,-0.31723872,-0.60274905,0.09988383,0.39612356,-0.26879463,-0.016765961,-0.7208145,0.18190576,-0.51273483,0.20635317,0.37096035,0.16580516,0.031876404,0.10011829,-0.4169657
2,0.02828217,0.0029680193,0.016690487,-0.016697075,-0.37947887,-0.054637607,-0.021252131,0.027326122,0.052656237,-0.040039033,0.16343147,0.28291136,0.11059662,-0.0052687437,0.049809154,-0.5114838
3,-0.032988027,0.12480422,0.094628155,0.050345745,-0.16885544,0.20572104,0.14711136,0.22015053,-0.16776794,-0.08163114,-0.060692176,0.0754281,0.05196872,0.13874759,-0.16524896,-0.36792883
4,0.067127034,0.08758762,0.057364378,-0.19591495,0.03144948,-0.054228038,0.087817304,0.13455535,-0.10073436,0.15185818,-0.3963754,-0.062602535,0.05031971,0.079957224,-0.14026575,-0.17985524
5,0.0012370126,0.16225606,0.10450544,-0.669282,0.089103445,0.10847247,0.06045543,0.18170783,-0.123616956,-0.044975556,-0.25473368,-0.3167612,0.0016260052,0.089568175,-0.1083383,-0.25364998
6,0.10661946,0.1969348,-0.028149424,-0.08237716,0.052020576,0.1164539,0.2049021,0.22246867,-0.13172628,-0.03936583,-0.078014106,-0.07781687,-0.114683054,0.10106668,-0.1989285,-0.2985428
7,0.060495686,0.03216178,0.011272107,-0.13733493,0.18152566,0.24716622,0.059448365,0.029534506,-0.7853088,-0.06913731,-0.19469312,0.017593304,-0.034489904,-1.2965341,-0.04699392,-0.09487843
8,0.19148637,-0.050512966,0.08277645,-0.083940335,-0.036063984,-0.12281981,-0.077568695,-0.01038798,0.048891865,0.012336444,-0.045281302,-0.022395035,-0.041947097,-0.010332179,0.042566046,-0.007198105
9,-0.12897977,0.21454161,-0.01990202,-0.026265208,-0.08950157,0.0253483,-0.07893423,-0.009144283,-0.017275613,-0.061246328,-0.11173361,-0.0015616259,-0.20134988,0.011194847,0.037283096,-0.23069714
10,-0.13832119,0.09748103,-0.01981365,0.041855384,-0.095588274,0.24967149,0.10630028,0.005420685,0.013917114,0.053041387,-0.05414106,-0.04604079,0.32877332,-0.005738888,-0.047376722,-0.07076526
11,0.1279476,-0.04767512,0.056992233,-0.060108032,-0.18625352,-0.11226867,-0.07996152,-0.073583186,0.006033391,0.018187609,0.0014313696,-0.047624443,-0.16552705,-0.003015551,0.010367804,-0.062910326
12,-0.24986795,-0.1537411,-0.012692732,-0.033814512,0.22927547,0.2174152,-0.09129742,-0.045513134,-0.16748329,0.3208958,0.13628238,-0.18023615,0.22994684,0.00014714463,0.024574745,-0.2517598
