,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.20484212,0.09704472,-0.016464211,-0.10840798,-0.0980793,0.10028549,0.036622707,0.15258305,0.15692255,-0.20108198,0.007589751,0.09919776,0.16209085,0.15744808,0.041063886,0.113287196,-0.059754822,-0.11791322,-0.19522507,-0.030453326,-0.039386496,-0.1436335,-0.23961748,0.038587026,0.120829694,0.14326133,-0.07861445,-0.05169275,-0.028656634,-0.13611001,0.19960757,-0.0025765328,0.07926016,-0.18646495,0.09671745,0.079399675,0.05044204,0.16882996,0.09517359,0.06661862,0.0748624,0.25801808,0.17984214,0.132645,0.082853705,0.093352176,-0.29488388,-0.20275593,0.020788947,0.023056248,-0.04311937,-0.024018465,-0.050743263,-0.13557047,-0.093503155,0.077525966,-0.12243993,-0.18146439,-0.1375774,-0.019498816,0.08556579,0.17965971,-0.22906795,0.117900275
1,0.040824965,-0.020232651,-0.02546347,0.039489377,0.2522857,0.012021003,0.19860564,0.18276976,0.025406454,0.09369799,-0.06245925,0.011181557,-0.18364237,-0.07820505,0.04566245,0.076993935,0.15249237,-0.1876283,-0.21463281,-0.25550917,0.038714625,0.2645288,0.20986281,0.18877444,-0.022556905,0.17162731,-0.06666604,-0.20629,-0.20747145,0.035059292,0.30504188,-0.28731412,-0.10990993,-0.053768035,-0.26153016,-0.13694192,-0.07690574,0.10166118,-0.16687706,-0.18298237,-0.25870308,0.043398116,0.205732,-0.11969299,-0.023256568,0.1462831,0.1656217,-0.058765385,-0.039116178,-0.12660165,0.26444224,0.23896368,0.19196734,-0.14725655,0.18926798,-0.024787335,-0.19351,-0.027580636,0.0062643685,0.03956312,0.063650325,-0.006412042,0.19741033,-0.13940628
2,0.18024382,0.039447255,-0.16556852,0.28610155,-0.10076265,-0.33333933,0.16421783,-0.026773343,-0.08638212,-0.06681585,-0.069856234,-0.0410381,-0.2438685,-0.23080078,0.08453039,0.021804703,-0.2539597,-0.23053126,-0.16092052,0.16985984,0.13270913,0.2674289,-0.14011256,0.054124687,0.032229893,0.14116895,0.14273338,0.119921185,0.13964051,-0.047458127,0.12044509,0.13941164,-0.20060351,-0.067348115,-0.08635494,-0.16656256,-0.007956393,0.22795603,0.037592646,-0.038989447,-0.10637738,-0.0851878,-0.3631038,-0.20357525,0.019607844,-0.10650996,0.004937866,-0.12255519,-0.10128042,0.117813684,0.06285673,-0.16555184,-0.21171087,-0.27878422,-0.23831713,0.1341516,-0.18610309,-0.17964745,0.20123002,0.048776288,-0.095714614,-0.17239286,0.08003178,-0.09297332
3,-0.21980159,-0.06498936,0.0013393547,0.025551584,-0.25526324,-0.17242372,0.13816398,0.16759352,0.08276913,-0.17336409,0.020929007,-0.035737988,-0.27812675,-0.1983059,-0.015889874,0.1911189,-0.13449964,0.18667808,0.14094436,-0.041345973,-0.012298526,-0.1233388,-0.19678138,0.20281371,0.11125574,-0.23720069,0.13700028,0.071884595,-0.24084415,-0.16352057,-0.10021507,-0.036826406,0.11979041,0.20486632,-0.0710991,-0.1046173,-0.0073730885,-0.26300716,-0.0033801408,-0.04533012,-0.1843103,0.044699356,-0.19022442,0.1505418,0.06751117,0.046513885,0.21634114,0.0029059257,0.019027986,0.13976854,-0.2247917,0.17110662,-0.238314,0.029007882,-0.18729097,0.16966493,-0.010459594,-0.15521713,-0.12628774,-0.03069714,0.11529821,0.11466299,0.107500136,-0.28538376
4,0.22228032,-0.019942187,-0.18450454,-0.28088427,-0.052009176,-0.18359467,0.012257223,0.04191741,0.09595135,0.08705338,-0.20419383,0.12976287,0.0005718476,0.102619216,-0.15534331,0.0029159284,-0.029805182,-0.19727574,-0.2107644,0.12901592,0.10292101,0.0385411,-0.005671502,0.21619448,-0.13799258,-0.096512415,0.24906242,0.09000136,0.1447811,-0.18598494,-0.0054993443,-0.015576367,0.005441877,0.09151367,-0.2665072,0.1307676,0.106044814,-0.16555716,-0.009584202,-0.03574234,-0.052006233,-0.10340547,-0.32849455,-0.15300867,0.08464471,-0.12190819,0.05210903,-0.024613004,0.15357718,-0.25682467,0.15181936,0.13229854,0.07200362,-0.22927214,-0.21963182,0.039531548,-0.16429724,0.23597556,-0.10073995,-0.039493423,0.14979818,-0.028765496,-0.17087486,-0.24560471
5,-0.048331253,-0.036308456,0.078331314,0.10982753,0.13252538,0.054970216,0.17577729,-0.09149174,-0.23594098,0.12008568,0.21184064,0.2489306,0.062282275,0.09802344,-0.012856389,-0.18787113,-0.11800726,0.026497474,0.056692448,0.040396247,0.22785735,0.3463361,-0.026072502,0.08812844,-0.33379042,0.29591072,-0.093448326,-0.2048793,-0.09746321,0.03658049,0.058756888,-0.2551899,-0.112667724,0.1151104,0.15117978,0.03269245,0.15957873,-0.07333063,-0.12040674,-0.2735796,-0.1262166,-0.12947533,-0.10529825,0.02404507,-0.041838873,-0.06769594,-0.046354767,0.022838658,-0.15038523,0.26161364,0.10407729,-0.2064652,0.008889787,0.1813453,0.18941386,-0.07810857,-0.21106958,-0.09984224,0.16502829,-0.15937296,0.19910967,0.025657313,0.09489775,0.08624628
6,-0.21738821,-0.13026485,0.028867524,-0.061480384,-0.2810553,0.015673645,-0.031737056,0.039372817,-0.07905847,0.17267743,0.14927082,-0.12187429,-0.24379747,0.06813481,-0.0062141553,0.032548826,0.15907569,0.21830362,0.09227652,-0.06630694,0.15461625,0.070693396,-0.24367817,-0.19778778,-0.14819409,-0.06548412,0.24167621,0.092730984,0.1325536,-0.23186187,-0.07624087,0.06757722,0.15104227,-0.09577077,-0.03523925,0.076151855,0.07828824,-0.2676163,0.14658132,-0.027839744,0.11451981,-0.07231247,0.17966318,0.18408397,-0.0154821295,-0.14993085,-0.028327048,-0.10729403,0.057253964,-0.13773432,0.15645722,0.10711036,0.24865158,0.09024212,-0.042710528,0.17776133,0.037222225,-0.026823776,0.026764676,0.13288316,-0.22654195,0.12829113,0.0032580472,0.009575924
7,0.01141481,0.0891456,0.0048628645,0.0024079203,-0.13573477,0.15709212,-0.24780412,0.1486647,0.2505135,-0.15834995,0.15909155,-0.117806874,0.077585585,-0.02059237,0.16773255,-0.097345404,0.103259936,-0.17911713,-0.15693161,0.14299527,-0.02537854,0.2285961,-0.12999845,-0.1311978,-0.05302049,0.22700769,-0.057668705,-0.16370937,-0.168516,-0.007445698,-0.12811768,0.09334788,0.1427392,-0.1835803,-0.03262836,-0.05680388,-0.16969964,0.10954707,-0.18484226,0.00577724,-0.037371725,-0.21197335,-0.0063374396,0.13770413,0.059548564,-0.20664677,-0.20511478,-0.0928947,-0.15728396,-0.12784933,-0.18110828,0.1895889,0.24147789,0.2443314,0.07445907,-0.115436085,0.2111618,0.13755341,-0.1769786,0.19592535,0.17718956,0.21227637,0.0067172525,-0.11326593
8,-0.3233436,0.14882118,-0.11788322,-0.09676905,0.035931703,0.20110695,-0.14079662,0.09223367,-0.089924715,0.0024532527,0.102740325,0.18982506,0.20639932,-0.16413526,-0.19510485,-0.21911205,0.024182746,-0.22261497,-0.056461122,0.18808348,0.10121849,-0.102262564,0.052784532,0.12917057,-0.053986255,0.16159993,-0.09708036,-0.104364514,-0.040747363,0.1433832,-0.12450333,-0.03699102,-0.10469438,-0.13908099,-0.24459296,0.1925983,0.12503925,-0.075900815,0.1305794,-0.2274007,0.074719235,0.09198066,0.10181225,0.16974084,-0.10346243,0.029165298,-0.008153552,-0.25531122,-0.10780611,-0.044762846,-0.22666067,0.14901488,-0.1536524,0.1263587,-0.111728854,-0.08171519,-0.17856587,0.07034532,-0.21838668,0.20071204,-0.17555863,0.09383945,0.11423402,-0.15808304
9,0.059093706,-0.096274525,-0.35655764,0.021046493,-0.19118835,0.095965266,-0.17257276,-0.09188441,0.21491486,0.044166263,-0.16209961,-0.10745628,0.100190125,0.053695988,0.20009343,-0.19527975,0.07052868,0.15882473,-0.16121808,0.10182825,-0.23011711,0.20186764,-0.23335883,0.20569025,-0.06698396,-0.16847779,0.06731127,0.098200075,0.024351332,-0.2067339,0.07733276,-0.07374706,-0.1627387,0.1511015,-0.013529383,0.21516888,-0.07244623,0.16316874,0.14546819,-0.03139327,-0.030907411,0.021304283,-0.16467953,0.15284729,0.067732565,0.004716646,0.0023027826,-0.06481786,-0.038251206,0.21676089,-0.22885674,0.20948188,-0.16102974,-0.004151464,-0.14742354,0.22194901,0.28286424,0.1909931,0.07889834,0.18652076,-0.050573993,0.03523294,0.17452131,0.021162253
10,-0.013737722,-0.079178534,0.1295571,0.041367415,-0.21607573,0.034786105,-0.27134383,0.15842995,-0.16576679,0.086542495,0.31798083,-0.11816269,0.1082265,0.10337152,0.05933317,0.008327515,0.10256673,-0.21175452,0.07118576,0.25074074,-0.33793896,0.15412246,-0.039906025,-0.16519341,-0.105868675,0.18143891,-0.011110634,0.13496655,0.0025312554,-0.12988344,-0.11953598,0.20498085,0.00800707,-0.15458693,-0.08232612,-0.2132137,-0.038111977,0.00033463445,-0.124678105,0.25933257,-0.08642363,0.22883663,0.052015163,0.080563664,-0.035024993,-0.05552091,-0.16153538,0.19156022,-0.26569912,-0.1147131,0.033561457,-0.09708921,0.27141783,-0.17302974,-0.024716316,-0.15878999,-0.12555063,-0.21942882,-0.073254906,-0.20198222,0.2651978,-0.080114216,0.060291946,-0.2067089
11,0.17551014,-0.114582635,0.09971271,0.11911593,0.0018631993,-0.20986618,0.19195507,-0.09091465,0.25197783,-0.08873809,-0.24061078,-0.015701752,-0.10018338,-0.006045673,0.2477133,-0.08074707,0.14585364,0.10120801,0.102386795,-0.17151405,-0.13861461,-0.15597154,-0.112227164,-0.07260178,-0.0893759,-0.030417385,-0.15610218,-0.1146497,0.043675732,0.1056755,0.09444199,0.12175351,-0.12221864,0.1438184,-0.015974334,0.021190478,-0.2666989,-0.08263215,0.049841266,0.2173388,-0.14208835,-0.2508513,-0.1329852,-0.033563048,0.12303608,-0.16798213,-0.0687871,0.17553751,0.24223298,0.14943612,-0.05971189,-0.08756353,0.20774859,-0.1727167,-0.0518681,0.014576199,-0.08025054,0.02044968,0.19772536,0.2092193,0.20510595,-0.223778,-0.13651404,0.061347183
12,0.0064587737,0.056634553,0.15342142,-0.031747174,-0.22068433,0.17998716,-0.059122194,0.056753907,0.12721203,-0.21830593,-0.12501737,-0.035195604,0.0948039,-0.27515686,-0.18151031,-0.010008452,-0.12256776,0.24405959,-0.26634943,-0.0032000965,-0.13225634,0.014619312,-0.23119244,0.11193817,0.113015346,0.033273064,-0.17556745,-0.15258953,-0.07538256,0.082423404,-0.038299717,-0.17873149,-0.17326951,0.046595097,0.045548923,-0.16510017,0.052545946,0.35997158,-0.20482843,-0.0003826504,-0.29317948,-0.09504223,-0.0707789,-0.019413078,-0.035233166,-0.0867948,-0.026869388,-0.007138542,-0.09240615,-0.091588184,-0.21479106,-0.15239845,-0.17700572,0.055813313,0.069238454,-0.21968906,0.052592713,0.032347806,0.024234688,-0.26714867,0.13481146,-0.05166419,0.16298565,-0.17034176
13,-0.09080892,-0.15924461,0.14323637,-0.12467857,-0.2383633,-0.08226734,0.04661172,0.22417426,-0.24395163,-0.19216363,0.14499699,-0.22088982,-0.019381337,-0.11157986,-0.23990563,0.18394893,-0.27527344,-0.21195263,-0.21075015,0.23251373,0.058905877,0.096417986,0.105874695,-0.07077618,-0.24313727,0.15217641,-0.04580099,-0.21431264,0.26477155,0.12075784,-0.10670127,-0.11903831,-0.1949026,-0.19105293,-0.04207942,0.15292807,-0.18671136,-0.2072515,-0.052702725,0.03959653,0.19639212,-0.20758164,-0.02305126,0.00980782,-0.052509103,-0.20844372,-0.056376923,-0.020174582,-0.0668061,-0.10292238,0.080807865,-0.19025137,-0.22963116,0.22971834,0.18520696,0.095313765,-0.16917527,0.0973849,-0.20551986,-0.25852287,0.002904937,-0.15632226,-0.22579002,-0.019821348
