,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.4391469,0.13925312,0.04788608,-0.4482778,0.013194291,0.04545607,0.12571912,-0.19307777,-0.043717116,0.032469198,-0.02352347,0.24213767,0.1846951,0.2964801,0.24124718,0.24470425,-0.011104394,0.15777372,0.11154841,-0.027341146,0.01889939,-0.17577825,0.14613019,0.2894007,-0.26142004,0.22150446,-0.17382447,-0.20123127,-0.25395674,-0.061693672,-0.15680863,-0.17737319
1,0.24804355,0.18895145,0.05917519,-0.03346631,0.013870225,-0.0966707,0.23166202,0.03167521,0.3721589,0.30263424,0.36263007,0.37917355,0.00028899935,-0.06952352,-0.06252269,0.06367851,-0.4631666,0.17729959,-0.5030198,0.084890835,0.17108603,0.13724418,0.14734195,0.1319271,-0.10486917,-0.17037581,-0.15088277,-0.35876626,-0.39420316,-0.46596766,0.17617746,-0.28885803
2,0.06704802,0.18942656,0.16932207,-0.26911372,0.15635289,-0.19340993,-0.34793165,-0.15211107,0.19615327,-0.18861827,0.21536803,0.11461674,-0.15877625,-0.18893631,0.2271421,-0.19617528,-0.08684999,0.109698564,-0.20498699,0.24219356,0.16121237,0.016958617,-0.082815416,-0.27013862,-0.150664,-0.027822612,0.13151693,-0.262788,0.21267639,0.25235224,-0.027949598,0.11433743
3,0.08509375,-0.00059429085,-0.2591493,-0.105333805,-0.17512746,-0.31596208,-0.41250038,-0.034371175,0.29542494,-0.09272982,0.24241617,-0.19802889,0.0013462289,-0.1319383,-0.1050273,0.214959,-0.17424001,-0.13075313,0.030594101,0.18285744,-0.34103346,-0.31507725,-0.19948198,0.24283794,-0.3093985,0.10970919,0.12465212,0.25477988,0.116170704,0.07118903,-0.3953634,-0.07420584
4,0.06606954,0.15603459,0.22688366,-0.3248661,-0.020569785,0.16262738,-0.019360907,0.2846935,-0.13579209,0.012921954,-0.07894318,-0.21957304,-0.2944707,-0.12355175,-0.13408238,-0.20479088,-0.2775842,0.088871896,0.15251623,-0.051224563,0.17119144,0.3745101,0.09416159,-0.22074299,0.07301854,-0.18580227,-0.030336712,0.086674094,-0.35703132,-0.32166627,-0.1169893,0.0966511
5,0.10216795,-0.34496185,0.17457187,0.14212386,0.30945218,0.14812198,0.2207605,0.073351115,0.022532357,-0.31978008,0.08197759,-0.28247076,-0.028128883,0.16338292,0.12087179,0.29533216,-0.4065205,-0.057836976,-0.35523483,-0.011450857,-0.041177824,0.19960566,0.044247795,-0.19998872,-0.49768165,0.15613034,0.29780066,0.12509911,0.32637116,-0.12536737,0.08400096,0.25337324
6,0.0076591414,0.32975817,0.13065729,-0.11079307,-0.19945063,-0.1456678,-0.07896136,-0.3430686,0.11019552,0.19068979,0.2361731,0.08004289,-0.15145113,-0.16446528,-0.38673988,0.078102425,0.1630097,-0.048546128,-0.03304226,0.10209378,0.111999355,0.20943968,-0.06444138,-0.22468075,-0.13046025,0.2249553,0.17931086,-0.33786118,0.029735059,-0.24967128,-0.00717783,0.40579572
7,-0.077327155,0.3853071,0.3649527,0.103108235,0.25876507,0.0947146,0.078547426,0.24769893,-0.102951795,-0.10010026,-0.17489396,-0.104987785,0.5297417,-0.40454778,0.14635895,-0.05230569,0.25946626,-0.22530036,-0.23867266,-0.17040879,-0.21181428,-0.23671904,-0.19412863,-0.25395447,0.33980733,-0.45118412,0.46457174,-0.023390243,-0.12947306,0.23763159,-0.18238546,0.38285992
8,-0.3171958,0.08762681,-0.034580287,-0.021817435,0.11329018,0.42726994,-0.020574551,-0.04179138,-0.011446187,-0.12721367,-0.32784483,0.21493728,-0.21192287,-0.48658893,0.07415741,0.22571012,0.111469075,-0.29484817,-0.35383663,0.1516229,-0.4804596,0.19933894,0.33166072,0.2012153,0.1474781,0.29765135,-4.256472e-05,-0.10732289,0.069727376,-0.060686894,-0.09817019,0.09029522
9,0.273554,0.107223004,-0.14196755,0.18995301,-0.5190242,0.02386943,0.11476413,0.106270105,-0.1949842,-0.07106212,-0.12119618,-0.13756369,-0.21501294,0.08181853,-0.026931833,-0.28064823,0.18690868,-0.2518528,0.2107794,0.25992548,-0.29951227,-0.11640223,-0.01048983,-0.25633964,0.029772598,-0.36752266,-0.2704373,0.23450893,0.1064675,-0.17073925,0.012551005,0.21648549
10,0.2140646,0.22313997,-0.4354863,-0.39193374,0.26481232,-0.35216433,0.07267939,-0.06175714,0.0568547,-0.2355793,-0.32230198,0.2156372,0.021573704,-0.12766345,0.046685897,-0.16705132,-0.06909577,-0.26626676,0.11442384,-0.026828522,0.17157361,0.13728632,0.35244402,0.12954463,-0.30584762,-0.28242254,-0.08587977,-0.091348864,-0.08768151,0.32776463,0.099396095,-0.23344056
11,-0.05769998,-0.14042185,-0.17859074,0.28173473,-0.3345856,-0.17596304,0.10933696,0.1461574,-0.16852121,-0.19461249,-0.07202256,-0.061217204,-0.10561548,0.10704473,-0.18671356,0.14412189,0.04032334,-0.09267436,-0.104282044,0.20188417,-0.018879712,-0.010210529,-0.053798802,-0.23389392,-0.1343236,-0.18511166,-0.08137646,-0.30908924,0.0019564265,0.08537675,0.18388343,0.02546309
12,0.19811371,-0.11494841,0.08985683,-0.5030261,-0.14868231,-0.10404707,0.29360622,-0.12251142,-0.66902035,0.23375836,0.270759,-0.50074685,0.5186219,-0.06252301,-0.35468063,-0.106870845,0.21530674,-0.7024928,0.18384664,0.26655117,-0.49685103,-0.023910852,-0.13979235,-0.41274104,-0.21590309,-0.26979333,0.5392235,0.11310633,0.2081404,-0.14933543,0.49868324,0.014803407
13,-0.013174987,0.14429753,0.2614074,0.08704091,0.4520745,0.42685512,-0.27330697,0.235472,-0.38201806,0.36474815,-0.1644368,-0.4630556,0.12765133,-0.13520685,0.2841193,-0.45590818,0.3169194,0.09290627,-0.15773542,0.24341922,-0.37968552,-0.016000723,-0.3571637,-0.39505237,0.37963462,0.09299369,0.230072,0.4481174,0.2676817,0.09685073,-0.031070175,0.24616659
14,0.30455083,-0.10410885,0.052744605,-0.25327262,-0.07373596,-0.24624152,-0.29261488,-0.029973334,0.096857734,-0.035894737,0.115231745,-0.26407877,-0.037373494,-0.14229116,0.30859163,-0.058480814,-0.17215031,-0.13937494,0.10030518,0.21466509,0.08063975,0.10978692,-0.120007955,0.20341215,0.31271863,0.012843726,-0.13274017,0.10579546,0.19495325,-0.1624378,-0.27057838,0.15472266
15,0.19565088,0.0009951745,0.15028103,0.057281587,-0.26060706,0.03478769,0.2638608,-0.4811615,-0.25383833,-0.06847557,0.20571712,0.0986356,-0.23470916,0.19215654,-0.12644313,-0.19284405,-0.095369615,-0.03266546,-0.07229404,0.011200946,0.15593594,-0.35114962,-0.28089693,-0.04807623,0.0453493,0.15248346,-0.050458793,-0.2779876,-0.10445566,0.081273556,0.16562574,0.060005177
