,mu,sigma
0,229966.5699569977,23384364357.97124
1,5792.638343296328,5945379.74068183
2,1.2601051043435505,0.210316815732035
3,0.3068428317415898,0.05825231300339147
4,0.21601294782619007,0.04297771015284377
5,0.20995900893377745,0.04018128785592425
6,0.2506192839668607,0.04349771983038051
7,0.016565927531581412,0.0012038242733403489
8,0.8505550811272417,0.2765560539686262
9,0.8095644748078565,0.3446053611290741
10,0.784799316823228,0.3840900323137827
11,0.8104184457728437,0.34322194275114
12,0.7762596071733561,0.39742102227107245
