,0
0,6.689181e-06
1,0.0002788939
2,2.7746144e-05
3,-4.8940707e-05
4,-0.00010412474
5,0.0001921879
6,-0.00011701835
7,0.0002802465
8,-0.00036202982
9,0.00020062378
10,0.00018397463
11,-2.3346556e-06
12,3.690817e-05
13,-8.656832e-05
14,-0.00018378724
15,-1.1628923e-05
16,3.190807e-05
17,-0.00037209984
18,-6.9750255e-05
19,-9.29449e-05
20,-0.00036823805
21,-1.6988128e-05
22,-0.00010901222
23,2.6620522e-05
24,5.9071623e-05
25,4.21143e-05
26,0.00030537593
27,-0.0001232971
28,-9.687286e-05
29,-1.6125327e-05
30,-9.019549e-06
31,0.00030336576
32,0.00013282456
33,-0.00015588576
34,-0.00013402369
35,1.4137145e-06
36,-0.00012552862
37,-0.000112125796
38,-0.00022160537
39,-0.0001791979
40,-6.868509e-05
41,-5.283827e-05
42,0.00021283847
43,-0.00026261876
44,-3.3979908e-05
45,-5.3968008e-05
46,0.00011229763
47,0.0003765149
48,0.000103587015
49,-0.0002783911
50,0.00027756777
51,0.00016341038
52,0.00011609206
53,0.00021556046
54,-3.9936214e-05
55,0.00016575647
56,0.00011845663
57,-0.00039663722
58,8.119853e-05
59,1.7385046e-05
60,0.0001235019
61,-0.00015069159
62,0.00014800619
63,-0.00024402904
64,-0.00029010608
65,6.907686e-05
66,-0.000251241
67,0.00017349684
68,-0.0002335068
69,-0.00010629391
70,6.155078e-05
71,0.00022409616
72,-0.00013528495
73,1.5120374e-05
74,-1.1807883e-05
75,0.00040226692
76,-5.074481e-07
77,0.00011839516
78,-0.00018932107
79,6.773745e-06
80,2.770906e-05
81,-0.00026369622
82,-0.00036518366
83,-0.00016447892
84,-3.725877e-06
85,7.53693e-05
86,9.176048e-05
87,-0.00017402438
88,0.00017176048
89,-0.00017430392
90,0.00023846641
91,-5.106405e-06
92,0.00041365705
93,0.00017262659
94,-0.00017831
95,0.00031282924
96,-0.00012274069
97,0.00015299956
98,0.00012000759
99,7.5949814e-05
100,-7.2008925e-06
101,0.00029391472
