,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0559478,-0.14245623,0.06972885,-0.1769936,0.13895611,0.1959931,0.029704314,-0.12766653,-0.073904015,-0.120783575,-0.01353218,-0.20932475,-0.10756294,-0.1648454,-0.13289648,0.14571981,0.14539008,-0.21851513,0.11695267,0.095111266,-0.16902432,0.0104210675,-0.21932748,-0.048478525,-0.07223981,-0.122834995,-0.1573891,0.12779091,-0.028667692,0.06889152,-0.13728578,0.12933289,0.18124975,-0.080945574,0.13745241,0.0869839,0.11928332,-0.20161735,-0.1051735,-0.1269661,0.046291616,-0.14087418,0.11005792,-0.04441093,-0.104392804,0.044166744,-0.22302607,-0.09548765,-0.009628757,-0.038449734,0.19674198,0.066528976,-0.0005397249,0.13519198,0.024242224,-0.17875156,-0.06640941,-0.060958754,-0.1637698,-0.14381579,-0.17951486,-0.10852452,0.14032574,0.09272128,-0.14318812,-0.16856839,0.029359827,-0.19812743,0.11296711,-0.10691173,0.12367423,0.1346929,-0.2035895,0.039291777,-0.17332542,-0.10865461,-0.036457676,0.03970948,-0.00017383086,0.14693926,-0.2169129,-0.033647396,-0.13667203,-0.073735565,0.02961244,-0.10261566,-0.16567725,0.040749386,0.10455551,-0.15324914,-0.09132216,-0.08777326,-0.08402097,0.109929055,-0.008632038,0.10020889,-0.17849828,0.05078684,-0.038596734,-0.053910155
1,0.28434175,0.09678207,0.16313833,-0.02793481,-0.1726122,0.22704808,0.045946397,0.16998559,0.03561559,-0.13804726,0.097663194,-0.10361036,0.042086564,0.09663597,-0.18078756,0.10190326,0.032390814,0.07331008,-0.15413131,0.06871876,-0.16230525,-0.0355117,0.058506787,-0.010953154,-0.055067528,0.043708842,0.15579595,-0.20994766,-0.15902837,-0.07115866,0.40101478,0.011979788,0.09993908,0.22166277,-0.09724084,0.15250036,0.12320045,-0.21612236,-0.11104145,0.034762546,0.06501918,-0.13583565,0.0570151,-0.17595331,-0.09983735,0.119735226,0.006666806,-0.11090819,0.022609364,-0.08618274,-0.07241867,0.110966645,0.07123577,-0.1692004,0.24297307,-0.0582129,-0.08332138,-0.0055607622,0.02609974,0.19267674,-0.07702545,-0.13452339,0.12937155,0.11434648,-0.09704162,-0.045606546,0.02279213,-0.041983962,-0.08351543,0.11066493,-0.04433246,0.13583753,0.116558075,-0.16821824,-0.11333946,0.0061926064,-0.1504093,0.006335465,-0.13467444,-0.17644612,-0.13910754,0.0961241,-0.059700772,-0.21090317,0.037062448,-0.13713463,0.00803903,-0.045777634,0.22841178,0.12645113,0.05845848,8.004743e-06,-0.0462097,-0.018023927,0.083804704,-0.1475304,0.010380715,-0.08746064,0.05918152,0.031011447
2,0.13960089,0.022138584,-0.07854694,0.18949416,0.05878329,-0.105392694,-0.20606858,-0.054161977,-0.24527057,-0.04715544,-0.06584165,-0.004157707,-0.01571009,-0.047834992,-0.120258294,-0.13875921,-0.05914893,0.14119196,-0.1712257,0.1754868,0.05326267,0.042103987,0.08610016,0.035097983,0.07816148,-0.098560244,-0.20504595,0.04683365,0.080698475,-0.26199877,-0.1597803,0.11395191,-0.03905354,-0.16088496,0.02718263,-0.09782305,0.056430317,0.14771292,0.17317644,0.092731595,0.12944984,0.10211928,-0.07199563,-0.06523306,-0.019136114,0.02982257,-0.13345848,0.05935734,-0.15049721,0.09848279,-0.042154882,0.1158934,-0.055191215,-0.036021348,-0.18757738,-0.058893126,-0.082724966,-0.062916435,0.155253,0.029380701,0.008988615,0.006919198,0.041354895,0.013600174,-0.062326405,-0.100585595,0.02466561,0.15647544,0.14661051,0.09952653,-0.01871582,-0.14081864,0.16731174,-0.10462298,0.1474639,0.17236108,0.06421785,-0.22402982,-0.14063454,-0.062005337,-0.14503603,0.040698767,0.064442195,-0.10515298,-0.040003054,-0.14078176,-0.17982449,0.18786672,-0.036852904,-0.0015070685,0.09314417,0.1048106,-0.09223032,0.11888634,0.04375835,-0.04036239,0.16756658,-0.099682815,0.022656515,0.060000345
3,-0.011587434,-0.06193694,-0.3367321,0.12346408,0.09438173,-0.32408893,0.14926638,-0.13423105,-0.10255425,0.05718764,-0.09131035,-0.24570909,0.019587465,0.03706873,0.12329491,0.039457723,-0.001347865,-0.072973356,-0.0026093258,-0.11013662,0.046755403,-0.16754259,-0.13351022,-0.06002466,0.14567882,0.03231888,0.09783657,0.18794662,0.11664246,-0.021818193,-0.0012508188,-0.16263355,-0.018329015,-0.15675478,0.09487837,-0.1531306,0.024413515,-0.046242118,-0.10512349,-0.006114755,-0.22230893,-0.019653536,0.099128835,-0.008686246,0.079530776,0.11062482,-0.15875366,0.002410278,-0.08791755,-0.062359262,-0.13108653,-0.048645735,-0.09323715,-0.063634485,-0.067972995,0.1101289,-0.037924223,-0.20913936,0.10205355,0.27926964,0.033754874,-0.115753286,-0.18601723,-0.14906889,0.1486918,0.107109904,-0.115309544,-0.12550987,-0.14194326,-0.124638885,0.05849881,-0.028072707,-0.072276644,0.092039645,0.14702994,0.085665286,-0.1337018,0.19046922,-0.13829978,-0.13576263,-0.21230035,0.1518187,0.06019036,0.09962979,0.21928354,0.15483671,0.06292589,0.022933966,-0.12627706,-0.16050658,-0.17090704,0.13198334,0.067766495,-0.05941852,-0.0057134023,-0.0685934,-0.056010462,-0.2101002,0.21488933,0.056651644
4,0.12971546,0.05856568,0.023703199,-0.08155407,0.12458469,-0.07272627,-0.13577005,0.16059756,0.19762133,-0.17320131,-0.062781885,-0.056898996,0.005500982,-0.009192547,-0.042345606,0.123072356,0.03891876,0.07125559,-0.047260057,-0.09825527,0.09802414,0.15212983,0.068025194,0.06252399,0.15620433,-0.12703416,0.18874177,0.07543095,0.07456484,0.10968278,0.22024214,0.10043057,-0.07387286,0.18778558,-0.12703735,0.14978647,-0.08038316,-0.034476917,-0.13234577,0.19917867,-0.059324976,-0.09803045,0.09305931,0.108104855,0.029125918,0.019823302,0.11520589,-0.03875112,-0.08392278,0.16763651,0.06156983,-0.061099745,0.071678154,-0.190733,0.114285514,-0.11321201,0.2121345,-0.10588241,-0.14534695,0.33391404,0.01406784,0.17931984,0.23453908,0.0022917402,0.03792278,-0.027539037,-0.012832255,-0.0053973948,-0.11818699,-0.0040857475,-0.09149261,-0.18374324,-0.111664094,0.12938353,0.15135767,-0.049574476,-0.14522712,0.11707782,0.006215722,0.10154082,-0.09168137,-0.120516576,0.15295807,-0.08455657,-0.09704251,-0.06664341,-0.09826843,0.028364535,-0.037353378,-0.04623833,-0.22522905,-0.068848155,0.11156951,0.013621883,-0.028541613,0.14718154,0.023622133,-0.014526048,0.31883836,0.09533426
5,-0.011957582,0.09774776,-0.11807894,-0.18544935,-0.013272696,0.16270459,0.015972415,0.045176454,-0.1905671,-0.12843004,0.102634445,0.015942449,0.12447125,-0.043406624,-0.065118745,0.16849196,0.19176604,0.17274936,0.04637293,0.14402588,0.10849175,0.09645256,-0.05091769,-0.057255078,-0.18193865,-0.012535663,-0.075323716,-0.013656213,0.0031890934,-0.15385538,0.0010117094,-0.056477565,0.044198647,0.082045786,0.16500568,0.16866697,0.18856715,-0.1395988,-0.16231042,0.057200227,-0.25274912,-0.078327335,0.17857394,0.059046693,0.0040526297,0.054629013,-0.0131820105,0.087410204,-0.15999939,-0.07353775,0.05999004,0.22607927,0.077884585,-0.09650113,0.13981806,-0.09933549,0.12427766,-0.11251951,-0.0048447195,-0.08971348,0.112518445,0.15310563,-0.12678263,0.1005789,0.1436894,0.17201744,-0.107272856,-0.06002748,0.03800004,-0.021954522,0.030323405,-0.03200774,-0.09704901,0.17034008,-0.098874606,-0.09645542,-0.05732398,0.044953477,-0.015650189,0.06436022,0.007290276,0.06943684,-0.096648,0.2082414,0.15098946,0.14461315,-0.054755505,-0.22859271,-0.24167813,0.10383597,0.06713712,0.00070113677,-0.00011467556,0.0694533,-0.12219381,-0.19918622,-0.08546418,-0.18745445,-0.11221488,-0.0714374
6,0.15372853,-0.07859729,-0.16434422,-0.24071749,-0.085276835,-0.19135171,0.15015903,0.13070369,-0.09833488,-0.033824403,0.014477947,-0.018493865,-0.35059685,-0.20659497,0.1620254,0.06292507,-0.002536161,0.0113697285,-0.009099575,-0.1141538,-0.10604396,0.06867821,-0.118987575,0.062477127,0.11812928,-0.113597855,-0.14624865,-0.07450942,0.18706103,0.03266641,-0.10988347,-0.107291974,-0.058587912,-0.043229274,-0.20865405,-0.13127224,0.030073095,-0.006869185,0.06778964,0.084725484,-0.18879919,0.048646875,-0.1637259,-0.029345887,-0.078160994,-0.12909828,-0.094067685,0.081021786,0.08307041,0.085856475,-0.10064379,-0.016138647,0.027784636,-0.02286394,0.040687375,-0.072752416,0.13540882,-0.12922798,0.09353188,-0.0623925,-0.002354639,-0.066976465,0.14397421,-0.08865841,0.041552115,-0.12747777,-0.025220567,0.17333835,0.041862514,0.060113788,0.17362137,-0.12335255,-0.0503637,0.07409023,0.102072515,-0.033360846,-0.014695887,0.09813545,-0.102370806,-0.02664855,0.09362013,0.107040286,-0.07680042,0.029823855,-0.021996388,-0.0456716,0.058509737,-0.13879365,-0.08998574,-0.058396444,-0.012818169,0.14028367,0.12199762,0.07658434,-0.12948747,-0.07537979,0.12684678,-0.06032041,0.031048074,-0.00063991174
7,-0.2794767,-0.09424179,0.08993148,0.14309435,0.17124969,-0.031903356,0.0002451289,-0.15444642,0.02793941,0.10077052,0.006196693,-0.11448401,-0.09625382,0.017048284,0.059617404,0.08292663,0.013722936,-0.02426258,0.15194498,0.23725988,-0.1541672,-0.15005517,-0.10298798,0.2421944,0.11149608,-0.24937813,-0.1072793,0.17122063,0.108012326,0.12487359,-0.20341349,0.13383786,0.18896775,0.055139706,-0.09704593,0.23727328,-0.09900264,0.039304502,0.17351379,0.04699144,-0.11534035,-0.1397262,-0.08099971,0.09312,0.078407586,-0.0070783533,-0.0074106483,0.02798362,0.0037000577,0.09128635,-0.056928806,0.0987806,-0.13223968,-0.10927841,0.119462766,-0.0052024103,-0.05237935,-0.12751815,-0.13114184,0.39022604,0.16687489,-0.060309917,0.22824755,-0.19901702,-0.0166924,-0.12583934,0.09714633,0.064264275,0.14863423,-0.12682323,-0.12179622,0.02351425,-0.22067866,0.011939691,-0.20717408,0.16214119,-0.07354932,0.19332902,0.013235959,0.05047111,0.18403782,-0.027599385,-0.22699253,-0.039375875,-0.07243566,0.10039995,-0.039870586,0.32994848,0.1632866,0.03654002,0.17873092,-0.14963809,-0.009424635,-0.095285766,-0.102443345,-0.1035337,0.17669596,-0.05992886,-0.33450857,0.17718923
8,-0.31375653,0.09971909,-0.029885761,-0.24381134,-0.10120177,0.0815817,-0.11053059,0.1272664,-0.16811156,0.13045615,-0.16213286,-0.042277526,-0.12805898,-0.23646519,-0.04691454,0.11549387,0.010802024,0.032241274,0.0078923935,0.04303865,-0.022976857,0.13984819,-0.066177785,-0.10948052,-0.1415222,0.09254131,0.02596776,-0.04013238,-0.06469029,-0.07088498,-0.113972865,-0.052076712,-0.21736278,-0.005229042,-0.25448275,-0.05847473,0.038700618,0.15456234,0.13915187,-0.16160028,0.064096704,-0.017181817,-0.10740363,-0.21058366,-0.23396596,-0.10525265,0.022160953,0.043915063,-0.09938481,0.13696322,-0.26399818,-0.05513952,-0.10018294,0.032509558,-0.13945153,0.03546322,0.18661433,0.16482174,-0.13046,-0.019674592,-0.17273857,0.04950124,0.025538128,0.17741318,-0.14712264,-0.028772406,0.043330226,-0.15884545,0.18768102,-0.05817612,0.042300265,-0.016537534,-0.07907405,-0.05121149,-0.0037649279,0.08296769,-0.17995472,-0.027541561,0.14055783,-0.17880972,-0.01961842,0.16619432,-0.05154293,0.15407966,-0.188724,-0.20579417,-0.10352869,0.06197395,-0.17036605,-0.12345137,-0.085877985,0.015231389,-0.04802889,-0.082471006,-0.19254386,-0.01543582,-0.19482848,-0.017220588,-0.057691857,-0.03735174
9,-0.26004827,-0.002219923,-0.038616218,0.03516713,-0.055658218,0.048085857,-0.036110416,0.08707506,-0.0054421667,-0.14969534,-0.14163812,-0.18308714,-0.12091247,0.039246492,-0.035880283,-0.09719246,-0.13399775,0.092173375,-0.053133458,0.022249838,-0.019549878,-0.011410833,-0.05521338,0.13399,0.14721888,0.0108934995,-0.104808904,0.11362753,0.012119768,0.038014546,-0.019241601,-0.2369112,-0.24339534,-0.17196839,-0.08215298,0.14026101,0.085638896,0.12275612,-0.109402865,-0.15279827,0.28020906,-0.12080446,-0.17741913,0.05578102,-0.07360009,0.1684326,-0.18223761,0.20971733,-0.025245968,-0.11875129,-0.16155642,-0.08143118,-0.008455722,-0.040945392,0.013553904,-0.14622562,-0.16253051,0.026345875,-0.044638816,0.070348635,0.06234885,-0.074798666,-0.03578971,0.052380484,9.180921e-05,-0.022529807,-0.14601092,-0.07356314,-0.031923406,0.08928903,-0.21246205,-0.12036896,0.012204614,-0.12211623,0.010076934,0.06719602,0.09929435,0.087317504,-0.101373166,0.046713978,-0.022364944,0.1098161,-0.08467674,-0.14751098,0.01992335,-0.33133063,0.13573852,0.22844416,0.14652489,0.057651967,0.058886204,0.031774234,0.10891752,-0.09215517,-0.17594461,-0.1420564,0.15421356,-0.06246996,-0.12268926,-0.10183996
