,Energy [eV]
457,228.60914
458,229.10916
459,229.60918
460,230.1092
461,230.60922
462,231.10924
463,231.60926
464,232.10928
465,232.6093
466,233.10932
467,233.60934
468,234.10936
469,234.60938
470,235.1094
471,235.60942
472,236.10944
473,236.60946
474,237.10948
475,237.6095
476,238.10952
477,238.60954
478,239.10956
479,239.60958
480,240.1096
481,240.60962
482,241.10964
483,241.60966
484,242.10968
485,242.6097
486,243.10972
487,243.60974
488,244.10976
489,244.60978
490,245.1098
491,245.60982
492,246.10984
493,246.60986
494,247.10988
495,247.6099
496,248.10992
497,248.60994
498,249.10996
499,249.60998
500,250.11
501,250.61002
502,251.11004
503,251.61006
504,252.11008
505,252.6101
506,253.11012
507,253.61014
508,254.11016
509,254.61018
510,255.1102
511,255.61022
512,256.11024
513,256.61026
514,257.11028
515,257.6103
516,258.11032
517,258.61034
518,259.11036
519,259.61038
520,260.1104
521,260.61042
522,261.11044
523,261.61046
524,262.11048
525,262.6105
526,263.11052
527,263.61054
528,264.11056
529,264.61058
530,265.1106
531,265.61062
532,266.11064
533,266.61066
534,267.11068
535,267.6107
536,268.11072
537,268.61074
538,269.11076
539,269.61078
540,270.1108
541,270.61082
542,271.11084
543,271.61086
544,272.11088
545,272.6109
546,273.11092
547,273.61094
548,274.11096
549,274.61098
550,275.111
551,275.61102
552,276.11104
553,276.61106
554,277.11108
555,277.6111
556,278.11112
557,278.61114
558,279.11116
559,279.61118
560,280.1112
561,280.61122
562,281.11124
563,281.61126
564,282.11128
565,282.6113
566,283.11132
567,283.61134
568,284.11136
569,284.61138
570,285.1114
571,285.61142
572,286.11144
573,286.61146
574,287.11148
575,287.6115
576,288.11152
577,288.61154
578,289.11156
579,289.61158
580,290.1116
581,290.61162
582,291.11164
583,291.61166
584,292.11168
585,292.6117
586,293.11172
587,293.61174
588,294.11176
589,294.61178
590,295.1118
591,295.61182
592,296.11184
593,296.61186
594,297.11188
595,297.6119
596,298.11192
597,298.61194
598,299.11196
599,299.61198
600,300.112
601,300.61202
602,301.11204
603,301.61206
604,302.11208
605,302.6121
606,303.11212
607,303.61214
608,304.11216
609,304.61218
610,305.1122
611,305.61222
612,306.11224
613,306.61226
614,307.11228
615,307.6123
616,308.11232
617,308.61234
618,309.11236
619,309.61238
620,310.1124
621,310.61242
622,311.11244
623,311.61246
624,312.11248
625,312.6125
626,313.11252
627,313.61254
628,314.11256
629,314.61258
630,315.1126
631,315.61262
632,316.11264
633,316.61266
634,317.11268
635,317.6127
636,318.11272
637,318.61274
638,319.11276
639,319.61278
640,320.1128
641,320.61282
642,321.11284
643,321.61286
644,322.11288
645,322.6129
646,323.11292
647,323.61294
648,324.11296
649,324.61298
650,325.113
651,325.61302
652,326.11304
653,326.61306
654,327.11308
655,327.6131
656,328.11312
657,328.61314
658,329.11316
659,329.61318
660,330.1132
661,330.61322
662,331.11324
663,331.61326
664,332.11328
665,332.6133
666,333.11332
667,333.61334
668,334.11336
669,334.61338
670,335.1134
671,335.61342
672,336.11344
673,336.61346
674,337.11348
675,337.6135
676,338.11352
677,338.61354
678,339.11356
679,339.61358
680,340.1136
681,340.61362
682,341.11364
683,341.61366
684,342.11368
685,342.6137
686,343.11372
687,343.61374
688,344.11376
689,344.61378
690,345.1138
691,345.61382
692,346.11384
693,346.61386
694,347.11388
695,347.6139
696,348.11392
697,348.61394
698,349.11396
699,349.61398
700,350.114
701,350.61402
702,351.11404
703,351.61406
704,352.11408
705,352.6141
706,353.11412
707,353.61414
708,354.11416
709,354.61418
710,355.1142
711,355.61422
712,356.11424
713,356.61426
714,357.11428
715,357.6143
716,358.11432
717,358.61434
718,359.11436
719,359.61438
720,360.1144
721,360.61442
722,361.11444
723,361.61446
724,362.11448
725,362.6145
726,363.11452
727,363.61454
728,364.11456
729,364.61458
730,365.1146
731,365.61462
732,366.11464
733,366.61466
734,367.11468
735,367.6147
736,368.11472
737,368.61474
738,369.11476
739,369.61478
740,370.1148
741,370.61482
742,371.11484
743,371.61486
744,372.11488
745,372.6149
746,373.11492
747,373.61494
748,374.11496
749,374.61498
750,375.115
751,375.61502
752,376.11504
753,376.61506
754,377.11508
755,377.6151
756,378.11512
757,378.61514
758,379.11516
759,379.61518
760,380.1152
761,380.61522
762,381.11524
763,381.61526
764,382.11528
765,382.6153
766,383.11532
767,383.61534
768,384.11536
769,384.61538
770,385.1154
771,385.61542
772,386.11544
773,386.61546
774,387.11548
775,387.6155
776,388.11552
777,388.61554
778,389.11556
779,389.61558
780,390.1156
781,390.61562
782,391.11564
783,391.61566
784,392.11568
785,392.6157
786,393.11572
787,393.61574
788,394.11576
789,394.61578
790,395.1158
791,395.61582
792,396.11584
793,396.61586
794,397.11588
795,397.6159
796,398.11592
797,398.61594
798,399.11596
799,399.61598
800,400.116
801,400.61602
802,401.11604
803,401.61606
804,402.11608
805,402.6161
806,403.11612
807,403.61614
808,404.11616
809,404.61618
810,405.1162
811,405.61622
812,406.11624
813,406.61626
814,407.11628
815,407.6163
816,408.11632
817,408.61634
818,409.11636
819,409.61638
820,410.1164
821,410.61642
822,411.11644
823,411.61646
824,412.11648
825,412.6165
826,413.11652
827,413.61654
828,414.11656
829,414.61658
830,415.1166
831,415.61662
832,416.11664
833,416.61666
834,417.11668
835,417.6167
836,418.11672
837,418.61674
838,419.11676
839,419.61678
840,420.1168
841,420.61682
842,421.11684
843,421.61686
844,422.11688
845,422.6169
846,423.11692
847,423.61694
848,424.11696
849,424.61698
850,425.117
851,425.61702
852,426.11704
853,426.61706
854,427.11708
855,427.6171
856,428.11712
857,428.61714
858,429.11716
859,429.61718
860,430.1172
861,430.61722
862,431.11724
863,431.61726
864,432.11728
865,432.6173
866,433.11732
867,433.61734
868,434.11736
869,434.61738
870,435.1174
871,435.61742
872,436.11744
873,436.61746
874,437.11748
875,437.6175
876,438.11752
877,438.61754
878,439.11756
879,439.61758
880,440.1176
881,440.61762
882,441.11764
883,441.61766
884,442.11768
885,442.6177
886,443.11772
887,443.61774
888,444.11776
889,444.61778
890,445.1178
891,445.61782
892,446.11784
893,446.61786
894,447.11788
895,447.6179
896,448.11792
897,448.61794
898,449.11796
899,449.61798
900,450.118
901,450.61802
902,451.11804
903,451.61806
904,452.11808
905,452.6181
906,453.11812
907,453.61814
908,454.11816
909,454.61818
910,455.1182
911,455.61822
912,456.11824
913,456.61826
914,457.11828
915,457.6183
916,458.11832
917,458.61834
918,459.11836
919,459.61838
920,460.1184
921,460.61842
922,461.11844
923,461.61846
924,462.11848
925,462.6185
926,463.11852
927,463.61854
928,464.11856
929,464.61858
930,465.1186
931,465.61862
932,466.11864
933,466.61866
934,467.11868
935,467.6187
936,468.11872
937,468.61874
938,469.11876
939,469.61878
940,470.1188
941,470.61882
942,471.11884
943,471.61886
944,472.11888
945,472.6189
946,473.11892
947,473.61894
948,474.11896
949,474.61898
950,475.119
951,475.61902
952,476.11904
953,476.61906
954,477.11908
955,477.6191
956,478.11912
957,478.61914
958,479.11916
959,479.61918
960,480.1192
961,480.61922
962,481.11924
963,481.61926
964,482.11928
965,482.6193
966,483.11932
967,483.61934
968,484.11936
969,484.61938
970,485.1194
971,485.61942
972,486.11944
973,486.61946
974,487.11948
975,487.6195
976,488.11952
977,488.61954
978,489.11956
979,489.61958
980,490.1196
981,490.61962
982,491.11964
983,491.61966
