,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.24233098,0.28891855,0.29093215,-0.20034936,-0.06781514,-0.24563017,-0.10619502,0.042816628,0.25147727,0.017547691,0.2094012,-0.057474416,-0.10037358,0.2851895,-0.098672666,0.24073187,-0.27094373,0.08884359,0.09163701,0.22100756,0.13163005,-0.12783045,-0.39231572,-0.3862049,-0.21610448,0.2290417,0.2127017,0.26813787,-0.15512003,-0.073728345,0.058754485,-0.21738282
1,0.3049694,-0.16788574,-0.24749443,-0.23381917,0.13872513,-0.15761405,-0.18354993,0.22726743,0.07512025,-0.1744381,-0.22386855,-0.14302208,0.2430792,0.2526159,0.105941504,-0.2553885,0.20464729,0.048359647,-0.18001263,-0.07448305,0.3100721,0.26478922,-0.18561532,-0.014582731,-0.12980558,-0.31068224,0.043425485,-0.24598205,0.37818122,-0.34615833,0.112431385,-0.03855296
2,0.20750375,-0.34188873,0.17502217,-0.07538926,0.01753018,-0.15897696,-0.22442766,0.24052338,0.079801865,0.052772883,0.10424206,-0.011958908,0.04079964,0.3031416,0.06830633,-0.01858681,0.102143526,-0.10198108,0.20433234,0.13336422,-0.19387175,-0.019390065,0.30843344,0.29259878,0.10246202,-0.14893667,-0.34609795,-0.26196778,0.06220075,0.29883805,-0.037260175,-0.057640847
3,-0.01788939,-0.309238,-0.050077625,0.09379744,-0.1494898,-0.044468436,0.31929445,0.32109314,-0.21271333,0.1020536,0.089332946,0.22388346,-0.11894981,0.022301817,0.120291784,-0.053624455,-0.137473,-0.1763684,0.22016877,-0.15267766,0.22318268,-0.06430921,0.116113566,0.019839017,-0.07594421,0.20108141,-0.1297798,-0.31982732,-0.23881745,-0.27001667,-0.005964262,0.27781457
4,-0.10280685,0.06321991,0.28362343,-0.041450504,0.038510997,0.20331272,0.0743937,-0.4097226,0.060908604,0.06212557,-0.27756888,-0.31791925,0.011231446,0.02539961,0.15135162,-0.12378806,-0.11294262,0.26961598,-0.422899,0.18313736,0.16913879,0.003939199,-0.33455235,0.3347755,0.12941107,0.29198968,0.18267806,-0.0633103,0.034931716,-0.08351642,-0.19634198,0.38781762
5,0.039584506,0.24018078,0.3393723,-0.41987357,-0.1964616,0.05119204,-0.14526902,0.2734817,0.30791497,-0.09103826,-0.103396446,-0.37849936,-0.15816675,0.1584042,-0.12216064,0.3068122,0.25014272,0.11505031,-0.28412595,-0.101072855,0.23566835,-0.31347606,0.05738307,0.14377595,-0.20248644,-0.09453528,0.22389776,-0.10427971,0.21798612,-0.25240743,0.11262373,0.01251775
6,-0.14687091,0.08818256,-0.31914613,-0.24833742,-0.06633011,0.01171103,0.09927016,-0.23358883,0.07255835,-0.24848543,-0.030616459,0.3573347,0.15341398,0.30945137,0.15478939,0.22619054,-0.18529263,0.15222204,0.07535517,0.11816432,-0.08442854,-0.02608849,-0.017074807,-0.052368823,0.40344104,0.17547135,-0.36263686,0.25133118,0.30835697,-0.08792126,-0.040440027,0.104778506
7,-0.10799138,0.15711173,-0.33161685,-0.34908745,-0.027452976,0.30744553,-0.24430408,0.15827532,-0.11687005,-0.1730163,0.32834008,-0.29950207,0.04669572,0.061380606,-0.079102814,0.31097823,-0.045186423,0.14736114,-0.08968508,0.07300668,0.26988164,-0.19362845,0.05341078,0.09978243,-0.12604702,0.29553214,-0.022471733,-0.26112112,-0.1705165,0.28093153,0.42754582,0.325415
8,0.2816684,-0.17692077,-0.1122254,-0.15022331,-0.24196653,-0.16975994,-0.32954228,0.050660294,-0.3619746,-0.04100735,-0.14249972,-0.28254965,0.08102255,-0.30290556,0.08220983,0.11846282,0.020665402,0.28922313,-0.101549104,0.38279167,0.33478016,0.23813656,0.19714803,-0.073013104,0.29145208,-0.14191411,-0.0896413,0.061967596,0.1100756,-0.03245476,-0.11760476,-0.20986703
9,-0.20488709,0.09385817,0.09635169,-0.1273388,-0.40428945,0.100301355,-0.19217771,-0.24979194,-0.22955199,0.3515207,-0.24006298,-0.101478845,0.3746119,-0.392268,-0.030484773,0.062446605,-0.26150984,0.15320127,0.22944921,0.21159899,0.04993843,-0.15220413,0.31340787,0.17988898,-0.22329074,-0.033751115,0.08950315,-0.17526673,-0.05723519,0.17110966,0.23949876,-0.2573194
