,mu,sigma
0,229283.75648994054,23193930322.86522
1,5804.075923670321,5972726.721397568
2,1.2562715746591713,0.21078702713298006
3,0.3060580058080728,0.0582217569407174
4,0.2147278089058213,0.04252926463777042
5,0.21260598489518412,0.04108162981723972
6,0.2500797609011945,0.042986612709119965
7,0.016528439489727105,0.0011865076696860651
8,0.8522127486804709,0.27373343098648933
9,0.805115712545676,0.3517886894120729
10,0.7921234267153877,0.3725404768486789
11,0.809175801867641,0.34523452167187374
12,0.7766950872919204,0.39674474137658067
