,max,min
0,1.006725095e-08,0.0
1,6.78272835e-08,0.0
2,1.75424935e-07,0.0
3,3.7411762500000003e-07,0.0
4,7.252711700000001e-07,0.0
5,1.2990458749999998e-06,0.0
6,2.309929175e-06,0.0
7,3.959597550000001e-06,0.0
8,6.7065548e-06,0.0
9,1.1263394525e-05,0.0
10,1.9452349500000002e-05,0.0
11,3.617745775e-05,0.0
12,0.00035631735365,0.0
13,0.0010753196701750003,0.0
14,0.00260490197675,0.0
15,0.0050781313257499995,0.0
16,0.008937275595,0.0
17,0.015309137700000001,0.0
18,0.023891031974999997,0.0
19,0.036956036250000004,0.0
20,0.0570484925,0.0
21,0.08693046100000001,0.0
22,0.12269017500000001,0.0
23,0.178865911,0.0
24,0.24457415000000002,0.0
25,0.3347772575,0.0
26,0.43844484749999996,0.0
27,0.5624925725,0.0
28,0.69805623,0.0
29,0.843232435,0.0
30,1.0093099225,0.0
31,1.1870880424999999,0.0
32,1.377218325,0.0
33,1.5703691750000002,0.0
34,1.782383775,0.0
35,1.999571225,0.0
36,2.20640395,0.0
37,2.415599975,0.0
38,2.6278603,0.0
39,2.8453826500000003,0.0
40,3.074467825,0.0
41,3.3055984,0.0
42,3.55949865,0.0
43,3.85434695,0.0
44,4.1880665,0.0
45,4.487451725000001,0.0
46,4.791797600000001,0.0
47,5.055895574999999,0.0
48,5.2943455749999995,0.0
49,5.489105825,0.0
50,5.647171149999999,0.0
51,5.791138050000001,0.0
52,5.9219724,0.0
53,6.035093275,0.0
54,6.12788855,0.0
55,6.201281675,0.0
56,6.263965175,0.0
57,6.3182111999999995,0.0
58,6.36306345,0.0
59,6.4005863750000005,0.0
60,6.4343616,0.0
61,6.46094785,0.0
62,6.48525845,0.0
63,6.5101384499999995,0.0
64,6.532203475,0.0
65,6.552776575,0.0
66,6.56865465,0.0
67,6.582267775,0.0
68,6.592866525,0.0
69,6.602117400000001,0.0
70,6.6101981,0.0
71,6.617259475,0.0
72,6.62278405,0.0
73,6.627680525000001,0.0
74,6.63201415,0.0
75,6.635388325,0.0
76,6.638406300000001,0.0
77,6.641095475,0.0
78,6.6434791,0.0
79,6.6452937,0.0
80,6.6469078,0.0
81,6.6483291499999995,0.0
82,6.6493705,0.0
83,6.65045165,0.0
84,6.6512135,0.0
85,6.6518492,0.0
86,6.652358425,0.0
87,6.652674225,0.0
88,6.652953950000001,0.0
89,6.653085375,0.0
90,6.653134975,0.0
91,6.653103175,0.0
92,6.6529910999999995,0.0
93,6.652800324999999,0.0
94,6.652532975,0.0
