,mu,sigma
0,225563.26457044808,21723145911.770786
1,5652.8149156232985,5698381.899331116
2,1.2432776022547238,0.19830343934297093
3,0.3309409548909581,0.05546946242022403
4,0.20069388220292975,0.03375803478907414
5,0.2042152168195266,0.03324684947860203
6,0.25392458223505066,0.03481431257890049
7,0.010225363851535708,0.0008813219533288658
8,0.854109961894393,0.27049617299274975
9,0.8181818181818182,0.33057851239669206
10,0.8051170386499727,0.35178655407549475
11,0.8149156232988568,0.3359125269034329
12,0.7147523135547088,0.48912913026817995
