,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.2590128,-0.6167164,-0.11160089,0.018138178,0.11990672,-0.20611902,-0.07727094,0.274725,0.27551442,0.33332354,-0.15936568,0.1277757,0.120836474,-0.04434809,0.3015167,0.2080468,-0.48099416,0.39881524,0.3636011,0.14526753,0.08950284,0.14040437,-0.22946987,0.20711698,0.18362632,-0.077165164,-0.2307394,-0.13670473,0.11361494,0.3562493,0.41544595,0.03007681
1,0.25417683,-0.34328052,-0.071460985,-0.022691404,0.27905285,0.13445936,-0.13212845,-0.04373502,-0.26854712,-0.22792505,-0.21029378,-0.09308757,0.081867486,0.2467068,-0.047177695,0.13559316,-0.22393566,-0.486185,-0.03237201,-0.09006713,-0.32753816,0.041607153,-0.42480153,0.22452049,-0.008116539,-0.36824852,0.24305561,-0.1611732,0.045126963,0.09745361,0.072200306,0.11607133
2,0.30314276,-0.20430253,-0.049005773,0.17464887,-0.25436944,-0.18166736,0.35309407,-0.0045549087,-0.2221037,-0.03978177,0.050228428,0.34912914,0.25960422,0.052256893,0.29127812,0.060043048,-0.18883707,-0.5152873,0.28325135,0.25843173,0.47212568,0.23832214,-0.5743317,0.02343868,0.47054374,0.18556635,-0.00858802,-0.44831517,0.3125353,0.40739846,0.19774684,-0.14492472
3,-0.026251178,0.026951531,-0.0879499,-0.022624642,0.05729535,-0.09139373,-0.0546725,-0.1853487,0.2861831,-0.28249967,-0.06534115,-5.939239e-05,0.24590245,-0.12132003,0.009071055,-0.106480785,-0.13531686,0.13649164,-0.06564823,0.15302794,0.17638853,0.08534321,0.09517619,-0.10446013,-0.07572595,0.022530895,-0.17506282,0.09886001,0.32265356,-0.3555231,0.07953994,0.016857112
4,0.22046053,-0.09207878,0.05305137,0.3470092,0.31191155,-0.23691463,0.36425805,0.1451876,-0.3111422,0.48589224,0.15840267,0.33396515,-0.051364783,0.511495,0.23545675,0.039741192,-0.068308316,0.009306179,0.048858248,0.40774548,-0.07284291,0.08687469,-0.40825722,0.19975126,-0.38997295,-0.36477053,0.22676449,-0.0007008821,0.1607067,0.27911672,0.111188166,0.10757951
5,-0.014880231,0.0077127693,-0.17083688,-0.41339767,-0.13292895,-0.28231683,-0.21423668,0.056246042,0.39961684,-0.12707514,0.047911182,-0.17183109,-0.48850286,-0.14925638,-0.34147704,-0.22362879,0.17392002,0.057105508,-0.24703641,-0.40206298,-0.052672368,-0.21632797,-0.0052775196,-0.20385137,-0.054778215,-0.12920716,0.032952536,-0.08819433,-0.6979885,-0.31955078,-0.31830907,-0.10281682
6,0.08231317,-0.13229948,-0.40909922,-0.171623,-0.5989795,0.04552542,-0.39437184,-0.5313742,-0.28497604,-0.4862937,-0.20648211,-0.26811707,0.2466657,-0.75254285,-0.2637022,0.00801539,-0.310168,-0.31373152,-0.6365899,-0.5561188,0.2523383,-0.2921261,0.0826332,-0.4379839,-0.037674922,-0.30122983,0.007873193,0.123965755,-0.0043517617,0.15569612,-0.6376753,-0.40200797
7,0.17953531,0.5250181,-0.33639959,0.2048379,0.10281948,-0.036891602,-0.17858434,0.19475229,0.1482806,-0.21559688,-0.1266223,-0.10814705,0.1016787,0.07964674,-0.16423795,-0.078409195,0.19460742,0.25791025,0.21561614,0.121141955,0.058050826,-0.024890687,0.2703825,-0.030976498,-0.09139452,-0.19764498,-0.43405747,-0.35157216,-0.09801026,-0.1693395,0.23044859,0.26227885
8,0.15638055,-0.13338962,-0.17037083,-0.2943131,-0.42681298,0.021950573,-0.24471971,-0.106593706,-0.372833,0.04255298,-0.25691056,0.02586365,0.22138514,0.09546205,-0.035287037,-0.11547586,-0.22764736,-0.36601472,-0.18343015,-0.16067488,0.17136751,0.012602016,-0.15663233,-0.11705333,-0.008823946,-0.2079208,0.13879848,-0.008192113,0.25989074,0.41252583,0.058641955,-0.058956116
9,0.30684727,-0.049526412,-0.10371104,-0.4849126,-0.4285523,0.39004555,0.32451916,-0.26873928,-0.13484769,-0.38034412,-0.10128483,0.21456324,0.0733798,-0.011367061,0.2894711,-0.3697775,-0.2640604,-0.24687259,0.1463693,-0.26268476,0.27407885,0.28599614,-0.1400343,-0.03787698,-0.1565453,0.282719,0.41069254,0.0726021,0.0972039,-0.018877802,-0.4303482,0.09327691
10,-0.39804557,0.067095205,0.0344902,0.020325018,-0.13598014,0.14453912,-0.09957473,-0.22817302,-0.35925394,0.28398427,0.17748563,0.21347655,0.054422397,-0.23896351,0.08729873,0.16881064,0.0070869685,-0.28158993,0.16798303,0.06727708,0.250775,0.27877197,0.22834511,0.04835588,-0.42834967,0.11303366,0.1340858,0.28471312,0.16213666,0.45388988,0.06613936,-0.025539454
11,-0.2194431,-0.019188916,-0.18806736,-0.27332935,0.079053774,-0.20997012,-0.050913304,0.09821506,0.23526402,-0.0066978983,0.14441267,0.28204834,-0.09739293,0.0502309,-0.02656495,0.08010099,0.0051789777,0.09902896,-0.29439723,0.033309884,-0.12222636,0.1637617,-0.23163098,0.40343437,-0.41419303,-0.060720388,-0.15553917,0.3321356,-0.04424916,-0.2292461,0.14895275,-0.1113356
12,0.17428355,0.08772737,0.23358282,0.058131486,-0.48918495,0.15629007,0.005463501,-0.022468667,-0.15933102,-0.37547773,-0.0068578706,-0.17150061,-0.12041174,-0.036330685,-0.015027347,-0.06398167,-0.0012610767,0.049788922,-0.16765255,-0.30069986,0.09207022,-0.163152,0.15384808,-0.19926226,0.22918905,0.041530874,-0.21744204,-0.14191128,-0.2601948,0.15730935,-0.27138188,-0.011391171
