,Energy [eV]
456,456.14104
457,457.14113
458,458.14122
459,459.14131
460,460.1414
461,461.14149
462,462.14158
463,463.14167
464,464.14176
465,465.14185
466,466.14194
467,467.14203
468,468.14212
469,469.14221
470,470.1423
471,471.14239
472,472.14248
473,473.14257
474,474.14266
475,475.14275
476,476.14284
477,477.14293
478,478.14302
479,479.14311
480,480.1432
481,481.14329
482,482.14338
483,483.14347
484,484.14356
485,485.14365
486,486.14374
487,487.14383
488,488.14392
489,489.14401
490,490.1441
491,491.14419
492,492.14428
493,493.14437
494,494.14446
495,495.14455
496,496.14464
497,497.14473
498,498.14482
499,499.14491
500,500.145
501,501.14509
502,502.14518
503,503.14527
504,504.14536
505,505.14545
506,506.14554
507,507.14563
508,508.14572
509,509.14581
510,510.1459
511,511.14599
512,512.14608
513,513.14617
514,514.14626
515,515.14635
516,516.14644
517,517.14653
518,518.14662
519,519.14671
520,520.1468
521,521.14689
522,522.14698
523,523.14707
524,524.14716
525,525.14725
526,526.14734
527,527.14743
528,528.14752
529,529.14761
530,530.1477
531,531.14779
532,532.14788
533,533.14797
534,534.14806
535,535.14815
536,536.14824
537,537.14833
538,538.14842
539,539.14851
540,540.1486
541,541.14869
542,542.14878
543,543.14887
544,544.14896
545,545.14905
546,546.14914
547,547.14923
548,548.14932
549,549.14941
550,550.1495
551,551.14959
552,552.14968
553,553.14977
554,554.14986
555,555.14995
556,556.15005
557,557.15014
558,558.15023
559,559.15032
560,560.15041
561,561.1505
562,562.15059
563,563.15068
564,564.15077
565,565.15086
566,566.15095
567,567.15104
568,568.15113
569,569.15122
570,570.15131
571,571.1514
572,572.15149
573,573.15158
574,574.15167
575,575.15176
576,576.15185
577,577.15194
578,578.15203
579,579.15212
580,580.15221
581,581.1523
582,582.15239
583,583.15248
584,584.15257
585,585.15266
586,586.15275
587,587.15284
588,588.15293
589,589.15302
590,590.15311
591,591.1532
592,592.15329
593,593.15338
594,594.15347
595,595.15356
596,596.15365
597,597.15374
598,598.15383
599,599.15392
600,600.15401
601,601.1541
602,602.15419
603,603.15428
604,604.15437
605,605.15446
606,606.15455
607,607.15464
608,608.15473
609,609.15482
610,610.15491
611,611.155
612,612.15509
613,613.15518
614,614.15527
615,615.15536
616,616.15545
617,617.15554
618,618.15563
619,619.15572
620,620.15581
621,621.1559
622,622.15599
623,623.15608
624,624.15617
625,625.15626
626,626.15635
627,627.15644
628,628.15653
629,629.15662
630,630.15671
631,631.1568
632,632.15689
633,633.15698
634,634.15707
635,635.15716
636,636.15725
637,637.15734
638,638.15743
639,639.15752
640,640.15761
641,641.1577
642,642.15779
643,643.15788
644,644.15797
645,645.15806
646,646.15815
647,647.15824
648,648.15833
649,649.15842
650,650.15851
651,651.1586
652,652.15869
653,653.15878
654,654.15887
655,655.15896
656,656.15905
657,657.15914
658,658.15923
